113.30000,23.10000,113.32000,23.12000
113.32000,23.10000,113.34000,23.12000
113.30000,23.12000,113.32000,23.14000
113.32000,23.12000,113.33000,23.13000
113.33000,23.12000,113.34000,23.13000
113.32000,23.13000,113.33000,23.14000
113.33000,23.13000,113.34000,23.14000
113.32000,23.12000,113.34000,23.14000
113.30000,23.10000,113.34000,23.14000
112.95000,22.55000,113.01875,22.63750
113.01875,22.55000,113.05313,22.59375
113.05313,22.55000,113.08750,22.59375
113.01875,22.59375,113.05313,22.63750
113.05313,22.59375,113.08750,22.63750
113.01875,22.55000,113.08750,22.63750
112.95000,22.63750,113.01875,22.72500
113.01875,22.63750,113.08750,22.72500
112.95000,22.55000,113.08750,22.72500
113.08750,22.55000,113.12188,22.59375
113.12188,22.55000,113.15625,22.59375
113.08750,22.59375,113.12188,22.63750
113.12188,22.59375,113.15625,22.63750
113.08750,22.55000,113.15625,22.63750
113.15625,22.55000,113.19062,22.59375
113.19062,22.55000,113.22500,22.59375
113.15625,22.59375,113.19062,22.63750
113.19062,22.59375,113.22500,22.63750
113.15625,22.55000,113.22500,22.63750
113.08750,22.63750,113.15625,22.72500
113.15625,22.63750,113.22500,22.72500
113.08750,22.55000,113.22500,22.72500
112.95000,22.72500,113.01875,22.81250
113.01875,22.72500,113.08750,22.81250
112.95000,22.81250,113.01875,22.90000
113.01875,22.81250,113.05313,22.85625
113.05313,22.81250,113.08750,22.85625
113.01875,22.85625,113.05313,22.90000
113.05313,22.85625,113.08750,22.90000
113.01875,22.81250,113.08750,22.90000
112.95000,22.72500,113.08750,22.90000
113.08750,22.72500,113.15625,22.81250
113.15625,22.72500,113.22500,22.81250
113.08750,22.81250,113.15625,22.90000
113.15625,22.81250,113.22500,22.90000
113.08750,22.72500,113.22500,22.90000
112.95000,22.55000,113.22500,22.90000
113.22500,22.55000,113.25937,22.59375
113.25937,22.55000,113.29375,22.59375
113.22500,22.59375,113.25937,22.63750
113.25937,22.59375,113.29375,22.63750
113.22500,22.55000,113.29375,22.63750
113.29375,22.55000,113.32812,22.59375
113.32812,22.55000,113.36250,22.59375
113.29375,22.59375,113.32812,22.63750
113.32812,22.59375,113.36250,22.63750
113.29375,22.55000,113.36250,22.63750
113.22500,22.63750,113.25937,22.68125
113.25937,22.63750,113.29375,22.68125
113.22500,22.68125,113.25937,22.72500
113.25937,22.68125,113.29375,22.72500
113.22500,22.63750,113.29375,22.72500
113.29375,22.63750,113.36250,22.72500
113.22500,22.55000,113.36250,22.72500
113.36250,22.55000,113.43125,22.63750
113.43125,22.55000,113.50000,22.63750
113.36250,22.63750,113.43125,22.72500
113.43125,22.63750,113.50000,22.72500
113.36250,22.55000,113.50000,22.72500
113.22500,22.72500,113.25937,22.76875
113.25937,22.72500,113.29375,22.76875
113.22500,22.76875,113.25937,22.81250
113.25937,22.76875,113.29375,22.81250
113.22500,22.72500,113.29375,22.81250
113.29375,22.72500,113.32812,22.76875
113.32812,22.72500,113.36250,22.76875
113.29375,22.76875,113.32812,22.81250
113.32812,22.76875,113.36250,22.81250
113.29375,22.72500,113.36250,22.81250
113.22500,22.81250,113.24219,22.83438
113.24219,22.81250,113.25937,22.83438
113.22500,22.83438,113.24219,22.85625
113.24219,22.83438,113.25937,22.85625
113.22500,22.81250,113.25937,22.85625
113.25937,22.81250,113.29375,22.85625
113.22500,22.85625,113.25937,22.90000
113.25937,22.85625,113.29375,22.90000
113.22500,22.81250,113.29375,22.90000
113.29375,22.81250,113.36250,22.90000
113.22500,22.72500,113.36250,22.90000
113.36250,22.72500,113.43125,22.81250
113.43125,22.72500,113.50000,22.81250
113.36250,22.81250,113.43125,22.90000
113.43125,22.81250,113.50000,22.90000
113.36250,22.72500,113.50000,22.90000
113.22500,22.55000,113.50000,22.90000
112.95000,22.90000,112.98438,22.94375
112.98438,22.90000,113.01875,22.94375
112.95000,22.94375,112.98438,22.98750
112.98438,22.94375,113.01875,22.98750
112.95000,22.90000,113.01875,22.98750
113.01875,22.90000,113.05313,22.94375
113.05313,22.90000,113.08750,22.94375
113.01875,22.94375,113.05313,22.98750
113.05313,22.94375,113.08750,22.98750
113.01875,22.90000,113.08750,22.98750
112.95000,22.98750,113.01875,23.07500
113.01875,22.98750,113.05313,23.03125
113.05313,22.98750,113.08750,23.03125
113.01875,23.03125,113.05313,23.07500
113.05313,23.03125,113.08750,23.07500
113.01875,22.98750,113.08750,23.07500
112.95000,22.90000,113.08750,23.07500
113.08750,22.90000,113.12188,22.94375
113.12188,22.90000,113.15625,22.94375
113.08750,22.94375,113.12188,22.98750
113.12188,22.94375,113.15625,22.98750
113.08750,22.90000,113.15625,22.98750
113.15625,22.90000,113.19062,22.94375
113.19062,22.90000,113.22500,22.94375
113.15625,22.94375,113.19062,22.98750
113.19062,22.94375,113.22500,22.98750
113.15625,22.90000,113.22500,22.98750
113.08750,22.98750,113.10469,23.00937
113.10469,22.98750,113.12188,23.00937
113.08750,23.00937,113.10469,23.03125
113.10469,23.00937,113.12188,23.03125
113.08750,22.98750,113.12188,23.03125
113.12188,22.98750,113.13906,23.00937
113.13906,22.98750,113.15625,23.00937
113.12188,23.00937,113.13906,23.03125
113.13906,23.00937,113.15625,23.03125
113.12188,22.98750,113.15625,23.03125
113.08750,23.03125,113.10469,23.05313
113.10469,23.03125,113.12188,23.05313
113.08750,23.05313,113.10469,23.07500
113.10469,23.05313,113.12188,23.07500
113.08750,23.03125,113.12188,23.07500
113.12188,23.03125,113.13906,23.05313
113.13906,23.03125,113.15625,23.05313
113.12188,23.05313,113.13906,23.07500
113.13906,23.05313,113.15625,23.07500
113.12188,23.03125,113.15625,23.07500
113.08750,22.98750,113.15625,23.07500
113.15625,22.98750,113.19062,23.03125
113.19062,22.98750,113.22500,23.03125
113.15625,23.03125,113.17344,23.05313
113.17344,23.03125,113.19062,23.05313
113.15625,23.05313,113.17344,23.07500
113.17344,23.05313,113.19062,23.07500
113.15625,23.03125,113.19062,23.07500
113.19062,23.03125,113.22500,23.07500
113.15625,22.98750,113.22500,23.07500
113.08750,22.90000,113.22500,23.07500
112.95000,23.07500,113.01875,23.16250
113.01875,23.07500,113.08750,23.16250
112.95000,23.16250,113.01875,23.25000
113.01875,23.16250,113.08750,23.25000
112.95000,23.07500,113.08750,23.25000
113.08750,23.07500,113.12188,23.11875
113.12188,23.07500,113.15625,23.11875
113.08750,23.11875,113.12188,23.16250
113.12188,23.11875,113.15625,23.16250
113.08750,23.07500,113.15625,23.16250
113.15625,23.07500,113.17344,23.09687
113.17344,23.07500,113.19062,23.09687
113.15625,23.09687,113.17344,23.11875
113.17344,23.09687,113.19062,23.11875
113.15625,23.07500,113.19062,23.11875
113.19062,23.07500,113.20781,23.09687
113.20781,23.07500,113.22500,23.09687
113.19062,23.09687,113.20781,23.11875
113.20781,23.09687,113.22500,23.11875
113.19062,23.07500,113.22500,23.11875
113.15625,23.11875,113.19062,23.16250
113.19062,23.11875,113.20781,23.14062
113.20781,23.11875,113.22500,23.14062
113.19062,23.14062,113.20781,23.16250
113.20781,23.14062,113.22500,23.16250
113.19062,23.11875,113.22500,23.16250
113.15625,23.07500,113.22500,23.16250
113.08750,23.16250,113.15625,23.25000
113.15625,23.16250,113.19062,23.20625
113.19062,23.16250,113.22500,23.20625
113.15625,23.20625,113.19062,23.25000
113.19062,23.20625,113.22500,23.25000
113.15625,23.16250,113.22500,23.25000
113.08750,23.07500,113.22500,23.25000
112.95000,22.90000,113.22500,23.25000
113.22500,22.90000,113.25937,22.94375
113.25937,22.90000,113.29375,22.94375
113.22500,22.94375,113.25937,22.98750
113.25937,22.94375,113.29375,22.98750
113.22500,22.90000,113.29375,22.98750
113.29375,22.90000,113.32812,22.94375
113.32812,22.90000,113.34531,22.92188
113.34531,22.90000,113.36250,22.92188
113.32812,22.92188,113.34531,22.94375
113.34531,22.92188,113.36250,22.94375
113.32812,22.90000,113.36250,22.94375
113.29375,22.94375,113.31094,22.96562
113.31094,22.94375,113.32812,22.96562
113.29375,22.96562,113.31094,22.98750
113.31094,22.96562,113.32812,22.98750
113.29375,22.94375,113.32812,22.98750
113.32812,22.94375,113.36250,22.98750
113.29375,22.90000,113.36250,22.98750
113.22500,22.98750,113.25937,23.03125
113.25937,22.98750,113.29375,23.03125
113.22500,23.03125,113.25937,23.07500
113.25937,23.03125,113.27656,23.05313
113.27656,23.03125,113.29375,23.05313
113.25937,23.05313,113.27656,23.07500
113.27656,23.05313,113.29375,23.07500
