序号,name,tag(推荐菜),district,机器判定,人工判定(对留空/错填:traditional|modern|excluded),备注
48,脆皮烧鸡,,黄埔区,other_chicken,,
49,放肆捞湖景吊炉火锅,走地鸡,番禺区,traditional,,
50,唐苑酒家(太古仓店),"火山石烧翅,法式杏汁梳乎厘,虾饺,孜然羊肉燒賣,小笼包,燕麦包,传统皮蛋酥,糯米鸡,肠粉,手打羊肉丸,一品烧鸡,水晶姜葱鸡,四拼烧卖,黄鳝竹筒饭,铁板烧牛仔骨,堂食,点心,蒸排骨,鲍鱼四宝糯米鸡,瑶柱萝卜糕,粉果,蒜蓉粉丝海皇饺,传统煮靓濑粉",海珠区,other_chicken,,
51,潮汕石橄榄鸡炉(人为峰广场店),,黄埔区,other_chicken,,
52,老广炭炉鸡锅羊肉煲,"羊肉煲,鸡锅",白云区,other_chicken,,
53,炭炉土鸡(新塘店),土鸡,增城区,other_chicken,,
54,广味炭炉鲜鸡煲(东塱店),,荔湾区,other_chicken,,
55,仙庙烧鸡(祈福店),仙庙烧鸡,番禺区,other_chicken,,
56,HOOTGIRL韩式炸鸡(新塘店),韩式炸鸡,增城区,modern,,
57,养生碳炉鸡煲,,白云区,other_chicken,,
58,沅小市·肥肠鸡锅·现炒浇头(番禺时代芳华里店),,番禺区,other_chicken,,
59,达美乐比萨(番禺誉赢新天地店),"西西里风情尊牛多多笋鲜比萨,可可火山饼底,苏丹王榴莲红毛丹比萨,美式豪情牛肉培根菠萝比萨,马德里风情牛腩大虾比萨,托斯卡纳风情芝浓三文鱼比萨,冬日暖饮,火山饼底,金尊猫山王榴莲多多比萨,照烧风味牛肉土豆比萨,意大利雪球芝士多肉多芝比萨,新加坡砂煲风味腊肠鸡肉比萨,呼伦贝尔羔羊排,香甜双虾菠萝比萨,英式惠灵顿菲力牛排比萨,可可熔岩芝士流心卷边,黑松露风味菌菇鸡肉比萨,苏丹王榴莲多多给荔比萨,嫩滋肋眼牛排,芝士焗烤嫩汁三文鱼,双人餐",番禺区,other_chicken,,
60,粤顺美食·碳炉鸡煲(长湴综合市场店),,天河区,other_chicken,,
61,粤味居食鸡专门店(暂停营业),"脆皮吊烧鸡,火焰醉鹅",番禺区,other_chicken,,
62,周末烤鱼小龙虾鸡煲,,花都区,other_chicken,,
63,麦当劳(中山八路分店餐厅),"麦辣鸡腿堡超值午餐,抹茶红豆新地,巨无霸大套餐,喜马拉雅奶茶,中薯原板烧鸡腿堡套餐,超值晚餐,芝士蛋麦满分,马卡龙,花生草莓麦旋风,脆骨鸡,烤汁牛肉麦趣饭,蚊早餐,美味鲜蔬杯,黑椒鸡扒堡,蓝莓派,薯条,双人餐,汉堡",荔湾区,other_chicken,,
64,皇庭甘香鸡(龙古路店),香鸡,番禺区,other_chicken,,
65,尊宝比萨(金沙店),"榴蓮王披薩,豪华至尊披萨,新奥尔良烤鸡披萨,骨肉相连,核桃鸡腿披萨,蒜香烤鸡翅,鳗烧比萨,海鲜意大利焗面,劲爆鸡米花,新奥尔良烤翅,双层芝士水果披萨,肉串,田园蔬菜披萨,和风照烧鸡披萨,奶霜茶,青椒,鸡翅,鸡肉,香肠,薯条,意面,比萨,披萨,堂食,番茄酱",海珠区,modern,,
66,鸡皇庄,鸡肉,白云区,other_chicken,,
67,流浪泡泡·破破烂烂的烤肉店(万科里店),炸鸡,海珠区,modern,,
68,柳州脆皮手撕鸡,,天河区,traditional,,
69,喜凤酱香黄油鸡煲,"酱香鸡煲,剁椒水库鱼头,肥肠酱香鸡煲,紫苏水库鱼头煲,桂花豆花,牛排煲,剁椒鸡煲,手工花卷,清汤黑山羊煲,双人餐",番禺区,other_chicken,,
70,卤香鸭,"鸭头,鸭架,鸭腿,鸡腿,鸭翅",天河区,other_chicken,,
71,广式炭炉鸡煲,,海珠区,other_chicken,,
72,羽丰果园鸡,,从化区,other_chicken,,
73,周壹芝麻鸡翅,芝麻鸡翅,番禺区,other_chicken,,
74,文记牛鞭鸡子甲鱼煲(河东南路店),"乳鸽,牛肉煲,甲鱼煲,羊肉煲,铁板鱿鱼",从化区,other_chicken,,
75,荔枝炭烧鸡,,番禺区,other_chicken,,
76,王大堡·炸鸡汉堡(黄村店),炸鸡汉堡,天河区,modern,,
77,品味土鸡私房菜,"土鸡,私房菜,鸡肉",荔湾区,other_chicken,,
78,叶式锋味脆皮烧鸡,"双拼脆皮烧鸡,招牌原味脆皮烧鸡,芝麻脆皮烧鸡,炖汤,脆肉",番禺区,other_chicken,,
79,外婆炭炉鸡煲(吉满家广场店),桑拿鸡,天河区,other_chicken,,
80,沙县小吃(乐苑店),"香菇炒肉,肉丝炒面,香菇回锅肉,鸭腿饭,鸡腿饭",黄埔区,other_chicken,,
81,正焱生炒鸡公煲(白云学院店),秘制烤鱼,白云区,modern,,
82,芝仕堡意粉餐厅(老字号一条街店),"芝士焗西兰花,配意粉,杂菌虾肉忌廉汤,芝士鸡扒饭,蜜汁鸡翅,芝士蒜香鸡扒焗饭,帕玛臣芝士拌肉酱烩意粉,酥皮汤,南瓜忌廉汤,泰式原只菠萝海鲜焗饭,芝士焗菠萝海鲜批,套杂菌忌廉汤,黑椒蜜汁鸡柳意粉,肉排竹筒饭,芒果芝士汁,意面,炒饭,牛肉,芝士,蘑菇",越秀区,other_chicken,,
83,一只鸡,,增城区,other_chicken,,
84,清远走地鸡庄,,荔湾区,traditional,,
85,湖南郴州茶油烧鸡公,,增城区,other_chicken,,
86,柴火农家饭店,"鸭肉,走地鸡",花都区,traditional,,
87,刘福记正宗炭炉鸡煲,,天河区,other_chicken,,
88,太二酸菜鱼(广州越秀悦汇城分店),"沸腾麻婆豆腐,不辣的鲈鱼酸菜鱼,毛血旺,五花肉炒菜花,招牌鲈鱼酸菜鱼,爆炒鲜牛肉,生焗蒜蓉粉丝虾,菜籽油爆炒鲜土鸡,蒜香粉丝虾,冰激凌糍粑,鸡蛋烧腐竹,辣椒炒肉,超下饭小炒牛肉,吮指鸡翅,石锅鸡爪,家常菜,酸菜鱼,鸡翅,双人餐,麻婆豆腐",荔湾区,other_chicken,,
89,华莱士·全鸡汉堡(番禺新桥店),"下午茶,单人餐,宵夜,汉堡,双人餐,炸鸡",番禺区,modern,,
90,鲜记湛江鸡(星荟购物广场店),湛江鸡,黄埔区,traditional,,
91,麦当劳(新塘国际贸易中心分店餐厅),"辣翅套餐,麦脆鸡盒,麦辣鸡腿套餐,麦趣鸡盒,马卡龙,麦香鱼汉堡,麦香鱼汉堡中套餐,香骨鸡腿,金馒头,蜜豆绿精灵,蓝莓芝士蛋糕,菠萝批,荔枝特饮,脆骨鸡,纽约芝士蛋糕口味圆筒冰淇淋,薯条,汉堡,双人餐",增城区,other_chicken,,
92,肥妹大排档,"大排档,沙姜啫鸡,啫啫煲",海珠区,other_chicken,,
93,匠心·海南鸡饭(珠院二食堂店),海南鸡饭,从化区,other_chicken,,
