id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0M6U5QM9Y,金牌窑鸡(客村店),金牌窑鸡,other_chicken,招牌,海珠区,宝灵幼儿园东南门旁,050000,餐饮服务;餐饮相关场所;餐饮相关,"窑鸡肾,窑鸡,窑鸡爪",113.312079,23.093802
B0LKTHV9AQ,老西关碳炉鲜鸡煲火锅店,老西关碳炉鲜鸡煲火锅店,other_chicken,招牌,海珠区,敦和路89-143号敦和花园,050117,餐饮服务;中餐厅;火锅店,,113.308377,23.093492
B0HKMU8HO5,烧味湛江鸡,烧味湛江鸡,traditional,招牌,海珠区,广州大道南与桂田村南约大街交叉口东北80米,050100,餐饮服务;中餐厅;中餐厅,烧味,113.310633,23.095192
B0FFJYP75X,湛江白切鸡(广州大道南店),湛江白切鸡,traditional,招牌,海珠区,客村东大街六巷33号,050300,餐饮服务;快餐厅;快餐厅,,113.310522,23.096451
B0LGOX748K,醉仙现烤脆皮烧鸡(桂田店),醉仙现烤脆皮烧鸡,other_chicken,招牌,海珠区,江海街道桂田产业园汤姆楼112铺,050000,餐饮服务;餐饮相关场所;餐饮相关,,113.312397,23.092571
B0FFK1GXJO,湛江鸡(墩和店),湛江鸡,traditional,招牌,海珠区,鹭江东约新街与敦和路交叉口南100米,050000,餐饮服务;餐饮相关场所;餐饮相关,湛江鸡,113.306968,23.092942
B0LRB6LYJO,桥味坊·招牌手撕鸡(海珠敦和店),桥味坊·招牌手撕鸡,traditional,招牌,海珠区,敦和路67号东川新街市6档,050000,餐饮服务;餐饮相关场所;餐饮相关,,113.312429,23.091106
B0HB3G87B5,来客杀鸡,来客杀鸡,other_chicken,招牌,海珠区,鹭江东约新街与鹭江南约大街交叉口北100米,050100,餐饮服务;中餐厅;中餐厅,,113.306993,23.09191
B00141J6QV,华莱士·全鸡汉堡(海珠鹭江桥店),华莱士·全鸡汉堡,modern,招牌,海珠区,凤和鹭江东约新街南三号华盛网吧楼下,050300,餐饮服务;快餐厅;快餐厅,"单人餐,宵夜,炸鸡,下午茶,双人餐,汉堡",113.30622,23.090847
B0IUP54H3J,创膳金牌烧鹅(敦和路店),创膳金牌烧鹅,traditional,推荐菜,海珠区,敦和路与桂田村南约东六巷交叉口东100米,050000,餐饮服务;餐饮相关场所;餐饮相关,"脆皮烧鸭饭,招牌手撕鸡拼烧鸭饭,脆皮烧鸭拼白切鸡饭,单人餐",113.31274,23.091332
B0H1RODJQB,黄焖鸡米饭·咸骨粥饺子王,黄焖鸡米饭·咸骨粥饺子王,modern,招牌,海珠区,桂田村南约东六巷与江贝东海大街交叉口东北140米,050100,餐饮服务;中餐厅;中餐厅,黄焖鸡米饭,113.31265,23.094251
B0M67MW5RU,华莱士·全鸡汉堡(鹭江桥店),华莱士·全鸡汉堡,modern,招牌,海珠区,凤和鹭江东约新街南大街3号首层自编之2号,050300,餐饮服务;快餐厅;快餐厅,"双人餐,下午茶,单人餐,宵夜,汉堡,炸鸡",113.306475,23.093214
B0LRPORRTT,养生碳炉鸡煲大排档,养生碳炉鸡煲大排档,other_chicken,招牌,海珠区,广州大道南辅路与客村立交交叉口南140米,050100,餐饮服务;中餐厅;中餐厅,大排档,113.310383,23.096907
B0HGDD7SC0,广州手撕鸡直营店(客村26分店),广州手撕鸡直营店,traditional,招牌,海珠区,新港西路237号42铺(华乐苑),050000,餐饮服务;餐饮相关场所;餐饮相关,,113.308586,23.098809
B0KALY9CX3,湛江白切鸡(客村店),湛江白切鸡,traditional,招牌,海珠区,新港西路辅路与广州大道南辅路交叉口西20米,050100,餐饮服务;中餐厅;中餐厅,,113.30917,23.098103
B0MGHCTQJE,维彬脆皮手撕鸡(客村店),维彬脆皮手撕鸡,traditional,招牌,海珠区,广州大道南267号,050000,餐饮服务;餐饮相关场所;餐饮相关,,113.30984,23.095529
